"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
ˆ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¯¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
˙¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¸¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
˛¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ß@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ß@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687

@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ß@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ß@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ß@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ß@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
